,RB1,CDH1,PTEN,BRCA2,CDKN2A,TP53,CTNNB1,CCNE1,CCND1,CDH2,CDH3,ERBB2,ERBB3
TCGA-A2-A4S2-01,0.07824600000000001,-0.3968,-0.17662,0.13844,0.21716,0.23110999999999998,-1.9077,-0.86111,-0.06569900000000001,0.32631,-0.0095337,0.24101,0.43911000000000006
TCGA-A2-A4S3-01,0.018638,-0.013624,-1.0726,0.44522,-1.0552,0.22514,-1.0303,-0.99445,0.3193,0.86974,0.067137,-0.70511,0.011793000000000001
TCGA-A7-A0CD-01,0.070655,0.092053,0.24283000000000002,-0.35711,0.29624,-0.11843,-0.71015,-0.87498,0.053676,-0.12747,-0.38911999999999997,0.9083,0.4463
TCGA-A7-A0CE-01,-0.27096,-0.016482,-0.05285,-0.19179000000000002,1.359,0.22383000000000003,0.081197,0.42878999999999995,-0.21276,-0.40701,0.10231,0.37191,0.25322
TCGA-A7-A0CG-01,0.16629000000000002,-1.4672,0.41089,-0.23686,-0.082637,-0.66235,-1.2674,-0.8735299999999999,0.10046000000000001,-0.2522,-0.097563,-0.078169,0.015722
TCGA-A7-A0CH-01,-0.18224,0.50548,0.6896,-0.26766999999999996,0.17689000000000002,-0.07210599999999999,0.30341999999999997,-0.9039299999999999,-0.016595,-0.20072,-0.20462,0.40704,0.049237
TCGA-A7-A0CJ-01,-0.2185,0.21354,-0.22053000000000003,-0.09811900000000001,0.020477000000000002,-0.014435,-0.23256999999999997,-1.1365,0.13335999999999998,-0.47053999999999996,-0.040715,-0.34206,-0.005633
TCGA-A7-A0D9-01,0.37138000000000004,0.22250999999999999,0.041473,0.10259000000000001,-0.63713,-0.43906000000000006,-0.54045,-0.62324,0.5139600000000001,0.43528999999999995,-0.06034199999999999,0.34235,0.6403399999999999
TCGA-A7-A0DA-01,0.00082201,-0.1907,0.61922,0.018667,0.54471,0.29373,-0.003959300000000001,-0.67962,0.18322,-0.19877,0.22232,-0.10263,-0.10496
TCGA-A7-A0DB-01,-0.089548,0.31134,-0.28815999999999997,0.07105,0.084074,-0.1759,-0.18874000000000002,-0.85011,0.17707,-0.28002,-0.032798,0.30563,0.16366
TCGA-A7-A13D-01,0.32018,-0.085158,-0.91043,-0.049591,1.3832,-0.10126,-0.7681600000000001,-0.026802,0.94275,0.33183,0.20396,0.6472399999999999,0.07104500000000001
TCGA-A7-A13E-01,0.028749,-0.37067,-0.044073,0.058846,-0.47262,0.23265,0.16330999999999998,-0.50864,0.17925,0.0085205,-0.08855700000000001,0.50057,0.9436200000000001
TCGA-A7-A13F-01,-0.16625,0.43764,0.35965,0.026099,-0.40717,-0.2456,0.09265599999999999,-0.54195,0.047064,-0.12153,-0.20576,1.1018,1.0504
