,mRNA_RB1,DNA_RB1,mRNA_CDH1,DNA_CDH1,mRNA_PTEN,DNA_PTEN,mRNA_BRCA2,DNA_BRCA2,mRNA_CDKN2A,DNA_CDKN2A,mRNA_TP53,DNA_TP53,mRNA_CTNNB1,DNA_CTNNB1,mRNA_CCNE1,DNA_CCNE1,mRNA_CCND1,DNA_CCND1,mRNA_CDH2,DNA_CDH2,mRNA_CDH3,DNA_CDH3,mRNA_ERBB2,DNA_ERBB2,mRNA_ERBB3,DNA_ERBB3
TCGA-BH-A18P-01,1.5090311236255114,0.5799062885002978,-1.143038696194874,-1.2169072848596332,0.5265875447067423,0.3787500274925669,1.109446369172171,0.33795182070670887,-0.4362899223945766,0.2760713073125157,-0.13129162857812982,-0.12012025478043754,0.5153517077560922,0.37982124464724076,-0.16826314194030467,-0.21458885973530292,-0.18583882242257152,-0.4086384727393681,-0.1260207952933471,0.013985287748455866,-0.5306901984193861,-1.2361965910769506,-0.16072020645001545,-0.045958570752707144,2.505155046266286,1.993108588884544
TCGA-BH-A18Q-01,-1.3248842391921551,-2.821156827701336,-0.08037095890456034,1.9452868440677837,-0.43519374641198455,0.3754630141327802,0.16318023547974342,-0.8942047740783671,1.5545953094516767,1.3964138967058353,-1.2561664240205745,-0.7715469882503162,1.192127100979171,-1.547661594422988,0.1945792102396735,0.4022781635655628,-0.6069276209673713,-0.4875106261539127,-0.16864516296787951,1.15633612951942,1.0713256554361512,1.9944164497517733,-0.35523047327998436,-0.8052277076821334,0.42489843896169716,-0.23303437969099247
TCGA-BH-A18R-01,0.8405699425935256,0.5851751701675351,1.77964089278419,0.7509705490927181,0.47037690362568757,1.9828125470684843,2.893773786981379,0.34307513295113745,-0.3682347463569828,0.22272166019854814,0.4494357459762749,0.9209157690422395,-0.28268152606554914,0.3040213577175127,0.6801585733476299,-0.2852899512311041,0.10673987202214494,2.7910613873734103,-0.17902142830720735,0.051362820403538546,-0.15281730420935685,0.7742592930090239,0.6313127928726912,2.830952879665176,0.41444953816746893,1.5979770318632125
TCGA-BH-A18S-01,-0.4215688100596115,-1.796359343423694,1.4340998742058817,0.5837140001246564,0.18244463109598433,0.3031487202174725,-0.9883627008930421,-1.9726620015305854,-0.37807694480036047,0.31318410530484103,-1.1597386502610927,-1.8749204985294414,0.29414935532220465,0.39064979992291626,-0.39744095971178367,-0.4355297706596818,0.1748434924160422,-0.49468082191887136,-0.19489003802051214,0.06771549094013722,-0.6550851402945462,0.6033838925023806,-0.13467976672093912,0.2890894976528664,0.4596266511415119,-0.11308372845237402
TCGA-BH-A18T-01,0.9692941898300211,0.09253473428085386,-0.29001695077654743,-0.6707101171358064,-0.5924582420402522,-3.3027049354685545,3.36949339399042,-0.17694105985836453,0.9721948328934398,-0.38963950667481917,3.1741812908625655,-0.7715469882503162,-0.34128407521406173,-1.619851962927491,7.221876894999335,5.5334098788733375,0.050465387103195064,1.4045247813245396,-0.17430168113066502,3.5344816446990555,1.423669408104055,-0.6781816112974436,-0.30932143718303723,-0.36715452263505277,-0.2665904422951722,-0.06016432349416
TCGA-BH-A18U-01,-0.34293711833878804,-0.9770482441683042,-0.2364549249707401,-0.8614871183025017,-0.5121501178379474,0.19467727934451087,1.1943347743610535,-1.1759869475219396,-0.3552713103156139,-1.0855044690309186,-1.2494134843959492,-0.4972620478419465,0.5791888490875803,3.307140687504835,-0.25559703212496415,-0.10853722249160107,-0.3739574521251358,0.27611522281417894,-0.11514868523154481,-0.40884805041216693,-0.55306276679028,-0.8730863650003334,2.842392371979257,2.830952879665176,-0.8443334683078876,-0.2542021416742781
TCGA-BH-A18V-01,1.533288543628788,1.2358820560713333,0.8938797353770508,1.477491183672736,0.4528352333502634,0.12564999878898983,5.5251879578643,0.9706808828936399,-0.5004304997978347,-2.7486217290619956,-1.1199468358674367,-0.5284307910701704,0.976893557275707,0.15242158385805654,0.04834837516764681,0.36692761781766214,0.012715048849243892,0.7341114773009099,-0.14752963872479843,-1.046602201339515,3.0838255720671106,1.5164993139597553,-0.3251552351134328,-0.35503392067722844,-1.4260863081943769,-1.7923928457930323
TCGA-BH-A1EN-01,-0.4533764991678394,-0.98495156666916,-0.6314126139695664,-0.7961525288618526,0.3862072842373344,1.3944371556666622,-0.8688306372236368,-0.012995068036649628,-0.3428483830867825,-0.013872427002525611,-0.5442268598974116,0.6622152002479813,-0.30441507234346854,-0.08219711378157801,-0.1227526548621877,0.37399772696724237,-0.3849860575469914,-1.0243790340551884,-0.1640062564272232,-1.3549668457439474,-0.5205019292510901,-0.8063381616774258,3.7495292900506065,2.830952879665176,-0.3444853720092551,-0.5434948887791814
TCGA-BH-A1EO-01,1.3115735257939733,0.5403896759960186,0.3458180800757484,-0.1793940045421252,-0.45423714336262977,-2.070074925548536,0.30544022282724675,0.29952697887349444,-0.39543212649604864,0.2505562586927921,-0.07067320537322375,-0.023497150772943638,0.7203165066668384,0.3292879866940887,-0.30586135643139484,0.36162503595547707,-0.5495228939711274,-0.15051142520085817,-0.10351768681600908,-0.780287281172051,-0.2534120587028084,-0.17623512230917915,-0.3462120651729288,-0.3108802992594397,-0.7848625177593326,-1.3372859631523917
TCGA-BH-A1ET-01,1.7199116374464554,0.5772718476666793,-0.10921471784049835,-0.8980744883892653,0.863650293392711,0.3294448270957662,-0.2854189787209564,0.33539016458449455,-0.4393753144714282,0.26215400806539374,-0.1300772493724846,0.9676688838845754,1.2387231605176359,0.3401165419697642,-0.374340635328146,-0.21105380516051284,-0.23745026584501072,-0.4812367048595739,-0.19348816335524555,0.03501014986693987,-0.5875004592823261,-0.9104653588611616,-0.28836812869539985,-0.3221351439345623,0.17135821976594376,-0.10602780779127881
