,ascore,dscore,escore,fscore,ncbiTaxonId,nscore,preferredName_A,preferredName_B,pscore,score,stringId_A,stringId_B,tscore
3145,0.0,0.0,0.0,0.0,9606,0.0,CDH2,SLC2A1,0.0,0.541,ENSP00000269141,ENSP00000416293,0.541
3146,0.0,0.9,0.0,0.0,9606,0.0,CDH2,MEPE,0.0,0.9,ENSP00000269141,ENSP00000416984,0.0
3147,0.0,0.9,0.063,0.0,9606,0.0,CDH2,VWA1,0.0,0.903,ENSP00000269141,ENSP00000417185,0.05
3148,0.0,0.0,0.0,0.0,9606,0.0,CDH2,MUC4,0.0,0.529,ENSP00000269141,ENSP00000417498,0.529
3149,0.096,0.0,0.0,0.0,9606,0.0,CDH2,ST6GALNAC5,0.0,0.596,ENSP00000269141,ENSP00000417583,0.571
3150,0.077,0.0,0.0,0.0,9606,0.0,CDH2,PVRL3,0.0,0.564,ENSP00000269141,ENSP00000418070,0.547
3151,0.088,0.0,0.313,0.0,9606,0.0,CDH2,BOC,0.0,0.557,ENSP00000269141,ENSP00000418663,0.35
3152,0.0,0.0,0.057,0.0,9606,0.0,CDH2,CDKN2A,0.0,0.433,ENSP00000269141,ENSP00000418915,0.424
3153,0.0,0.0,0.0,0.0,9606,0.0,CDH2,CDK5,0.0,0.411,ENSP00000269141,ENSP00000419782,0.411
3154,0.147,0.9,0.0,0.0,9606,0.0,CDH2,ROBO1,0.0,0.933,ENSP00000269141,ENSP00000420321,0.286
3155,0.083,0.0,0.176,0.0,9606,0.0,CDH2,MYO10,0.0,0.654,ENSP00000269141,ENSP00000421280,0.579
3156,0.082,0.9,0.0,0.0,9606,0.0,CDH2,CDH18,0.0,0.91,ENSP00000269141,ENSP00000425093,0.07449
3157,0.0,0.0,0.0,0.0,9606,0.0,CDH2,PROM1,0.0,0.591,ENSP00000269141,ENSP00000426809,0.591
3158,0.061,0.0,0.294,0.0,9606,0.0,CDH2,DDR1,0.0,0.489,ENSP00000269141,ENSP00000427552,0.292
3159,0.0,0.9,0.447,0.0,9606,0.0,CDH2,PIK3R1,0.0,0.947,ENSP00000269141,ENSP00000428056,0.125
3160,0.0,0.0,0.0,0.0,9606,0.0,CDH2,ANGPT1,0.0,0.452,ENSP00000269141,ENSP00000428340,0.452
3161,0.071,0.0,0.0,0.0,9606,0.0,CDH2,GRIA1,0.0,0.643,ENSP00000269141,ENSP00000428994,0.631
3162,0.0,0.0,0.0,0.0,9606,0.0,CDH2,CFL1,0.0,0.4,ENSP00000269141,ENSP00000432660,0.4
3163,0.075,0.0,0.064,0.0,9606,0.0,CDH2,HMGA2,0.0,0.472,ENSP00000269141,ENSP00000437621,0.44
3164,0.069,0.9,0.0,0.0,9606,0.0,CDH2,CALU,0.0,0.913,ENSP00000269141,ENSP00000438248,0.143
3165,0.225,0.0,0.19,0.0,9606,0.0,CDH2,MPDZ,0.0,0.404,ENSP00000269141,ENSP00000439807,0.127
3166,0.061,0.72,0.0,0.0,9606,0.0,CDH2,APC2,0.0,0.725,ENSP00000269141,ENSP00000442954,0.0
3167,0.0,0.0,0.05,0.0,9606,0.0,CDH2,SP7,0.0,0.536,ENSP00000269141,ENSP00000443827,0.532
3168,0.0,0.9,0.0,0.0,9606,0.0,CDH2,APOA5,0.0,0.9,ENSP00000269141,ENSP00000445002,0.0
3169,0.062,0.0,0.0,0.0,9606,0.0,CDH2,VIM,0.0,0.74,ENSP00000269141,ENSP00000446007,0.734
3170,0.0,0.0,0.063,0.0,9606,0.0,CDH2,ZBED6,0.0,0.446,ENSP00000269141,ENSP00000447879,0.433
3171,0.0,0.0,0.0,0.0,9606,0.0,CDH2,KRT8,0.0,0.541,ENSP00000269141,ENSP00000449404,0.541
3172,0.0,0.0,0.0,0.0,9606,0.0,CDH2,GSKIP,0.0,0.41,ENSP00000269141,ENSP00000451188,0.41
3173,0.0,0.0,0.268,0.0,9606,0.0,CDH2,NUMB,0.0,0.614,ENSP00000269141,ENSP00000451300,0.494
3174,0.0,0.0,0.056,0.0,9606,0.0,CDH2,AKT1,0.0,0.817,ENSP00000269141,ENSP00000451828,0.814
3175,0.049,0.0,0.0,0.0,9606,0.0,CDH2,ZEB2,0.0,0.746,ENSP00000269141,ENSP00000454157,0.744
3176,0.0,0.0,0.0,0.0,9606,0.0,CDH2,PECAM1,0.0,0.538,ENSP00000269141,ENSP00000457421,0.538
3177,0.061,0.9,0.0,0.0,9606,0.0,CDH2,CDH8,0.0,0.912,ENSP00000269141,ENSP00000462701,0.1099
3178,0.0,0.0,0.064,0.0,9606,0.0,CDH2,GJD3,0.0,0.497,ENSP00000269141,ENSP00000463752,0.485
3179,0.0,0.0,0.08,0.0,9606,0.0,CDH2,TJP3,0.0,0.429,ENSP00000269141,ENSP00000465419,0.405
3180,0.0,0.9,0.0,0.0,9606,0.0,CDH2,PRKCSH,0.0,0.9,ENSP00000269141,ENSP00000466134,0.0
3181,0.0,0.9,0.0,0.0,9606,0.0,CDH2,PIP5K1C,0.0,0.9,ENSP00000269141,ENSP00000466363,0.0
3182,0.0,0.0,0.0,0.0,9606,0.0,CDH2,TNNT1,0.0,0.416,ENSP00000269141,ENSP00000467176,0.416
3183,0.061,0.9,0.0,0.0,9606,0.0,CDH2,FAM20A,0.0,0.902,ENSP00000269141,ENSP00000468308,0.0
3184,0.062,0.9,0.0,0.0,9606,0.0,CDH2,MAP2K6,0.0,0.913,ENSP00000269141,ENSP00000468348,0.153
3185,0.061,0.0,0.0,0.0,9606,0.0,CDH2,GFAP,0.0,0.404,ENSP00000269141,ENSP00000468500,0.391
3186,0.0,0.0,0.771,0.0,9606,0.0,CDH2,SARS2,0.0,0.771,ENSP00000269141,ENSP00000472847,0.043
3187,0.0,0.0,0.0,0.0,9606,0.0,CDH2,ENSG00000269897,0.0,0.536,ENSP00000269141,ENSP00000473391,0.536
3188,0.0,0.9,0.058,0.0,9606,0.0,CDH2,DNAJC3,0.0,0.901,ENSP00000269141,ENSP00000473631,0.0
3189,0.0,0.0,0.0,0.0,9606,0.0,CDH2,HIST2H3PS2,0.0,0.444,ENSP00000269141,ENSP00000476960,0.444
3190,0.0,0.0,0.0,0.0,9606,0.0,CDH2,TBC1D3D,0.0,0.405,ENSP00000269141,ENSP00000478426,0.405
3191,0.0,0.0,0.0,0.0,9606,0.0,CDH2,VEGFA,0.0,0.589,ENSP00000269141,ENSP00000478570,0.589
3192,0.0,0.0,0.0,0.0,9606,0.0,CDH2,ENSG00000274611,0.0,0.405,ENSP00000269141,ENSP00000478683,0.405
3193,0.0,0.0,0.064,0.0,9606,0.0,CDH2,MYC,0.0,0.781,ENSP00000269141,ENSP00000479618,0.775
3194,0.104,0.0,0.084,0.0,9606,0.0,CDH2,NCAM1,0.0,0.648,ENSP00000269141,ENSP00000480132,0.606
3195,0.0,0.0,0.0,0.0,9606,0.0,CDH2,TBC1D3A,0.0,0.405,ENSP00000269141,ENSP00000482345,0.405
3196,0.076,0.0,0.0,0.0,9606,0.0,CDH2,TWIST2,0.0,0.609,ENSP00000269141,ENSP00000482581,0.594
3197,0.0,0.0,0.0,0.0,9606,0.0,CDH2,CD24,0.0,0.567,ENSP00000269141,ENSP00000483985,0.567
3198,0.0,0.0,0.0,0.0,9606,0.0,CDH2,MUC1,0.0,0.445,ENSP00000269141,ENSP00000484824,0.445
3199,0.076,0.9,0.379,0.0,9606,0.0,CDH2,CDH4,0.0,0.938,ENSP00000269141,ENSP00000484928,0.022204
3200,0.0,0.0,0.294,0.0,9606,0.0,TP53,BAIAP2L1,0.0,0.696,ENSP00000269305,ENSP00000005260,0.587
3201,0.0,0.0,0.0,0.0,9606,0.0,TP53,ERCC1,0.0,0.795,ENSP00000269305,ENSP00000013807,0.795
3202,0.0,0.0,0.379,0.0,9606,0.0,TP53,RB1CC1,0.0,0.792,ENSP00000269305,ENSP00000025008,0.679
3203,0.0,0.0,0.0,0.0,9606,0.0,TP53,CDH17,0.0,0.706,ENSP00000269305,ENSP00000027335,0.706
3204,0.0,0.9,0.0,0.0,9606,0.0,TP53,PSMA4,0.0,0.905,ENSP00000269305,ENSP00000044462,0.089
3205,0.064,0.9,0.0,0.0,9606,0.0,TP53,RFC2,0.0,0.92,ENSP00000269305,ENSP00000055077,0.223
3206,0.0,0.0,0.0,0.0,9606,0.0,TP53,SLC2A3,0.0,0.65,ENSP00000269305,ENSP00000075120,0.65
3207,0.0,0.9,0.061,0.0,9606,0.0,TP53,HDAC7,0.0,0.938,ENSP00000269305,ENSP00000080059,0.398
